Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"PLD","PROLOGIS REIT INC","Real Estate","Equity","157,775,198.82","0.13","157,775,198.82","1,386,669.00","113.78","United States","New York Stock Exchange Inc.","USD"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA SA","Financials","Equity","157,485,841.41","0.13","157,485,841.41","8,619,943.00","18.27","Spain","Bolsa De Madrid","EUR"
"ENB","ENBRIDGE INC","Energy","Equity","157,129,963.78","0.13","157,129,963.78","3,251,136.00","48.33","Canada","Toronto Stock Exchange","CAD"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","156,624,518.30","0.13","156,624,518.30","369,659.00","423.70","United States","NASDAQ","USD"
"ZURN","ZURICH INSURANCE GROUP AG","Financials","Equity","156,031,275.59","0.13","156,031,275.59","216,062.00","722.16","Switzerland","SIX Swiss Exchange","CHF"
"8316","SUMITOMO MITSUI FINANCIAL GROUP IN","Financials","Equity","154,418,540.87","0.13","154,418,540.87","5,672,734.00","27.22","Japan","Tokyo Stock Exchange","JPY"
"1299","AIA GROUP LTD","Financials","Equity","153,777,034.27","0.13","153,777,034.27","16,179,274.00","9.50","Hong Kong","Hong Kong Exchanges And Clearing Ltd","HKD"
"SO","SOUTHERN","Utilities","Equity","151,790,580.50","0.13","151,790,580.50","1,644,535.00","92.30","United States","New York Stock Exchange Inc.","USD"
"MMC","MARSH & MCLENNAN INC","Financials","Equity","151,721,279.71","0.13","151,721,279.71","737,191.00","205.81","United States","New York Stock Exchange Inc.","USD"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","151,448,804.60","0.13","151,448,804.60","857,581.00","176.60","United States","New York Stock Exchange Inc.","USD"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","151,384,175.04","0.13","151,384,175.04","387,152.00","391.02","United States","NASDAQ","USD"
"9984","SOFTBANK GROUP CORP","Communication","Equity","149,702,868.10","0.13","149,702,868.10","1,427,022.00","104.91","Japan","Tokyo Stock Exchange","JPY"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","149,381,954.35","0.13","149,381,954.35","1,693,865.00","88.19","United States","NASDAQ","USD"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","148,338,567.00","0.12","148,338,567.00","481,650.00","307.98","United States","NASDAQ","USD"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","148,207,654.95","0.12","148,207,654.95","195,177.00","759.35","United States","New York Stock Exchange Inc.","USD"
"7974","NINTENDO LTD","Communication","Equity","146,555,868.27","0.12","146,555,868.27","1,641,370.00","89.29","Japan","Tokyo Stock Exchange","JPY"
"CME","CME GROUP INC CLASS A","Financials","Equity","145,876,647.09","0.12","145,876,647.09","547,359.00","266.51","United States","NASDAQ","USD"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","145,578,419.28","0.12","145,578,419.28","3,085,596.00","47.18","United States","New York Stock Exchange Inc.","USD"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","145,036,597.23","0.12","145,036,597.23","318,321.00","455.63","United States","New York Stock Exchange Inc.","USD"
"RHM","RHEINMETALL AG","Industrials","Equity","145,001,586.43","0.12","145,001,586.43","70,810.00","2,047.76","Germany","Xetra","EUR"
