Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"CCEP","COCA COLA EUROPACIFIC PARTNERS PLC","Consumer Staples","Equity","24,907,280.08","0.70","24,907,280.08","328,271.00","75.87","Netherlands","NASDAQ","USD"
"VWS","VESTAS WIND SYSTEMS","Industrials","Equity","24,734,718.41","0.70","24,734,718.41","1,462,285.00","16.92","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"LGEN","LEGAL AND GENERAL GROUP PLC","Financials","Equity","23,951,428.29","0.68","23,951,428.29","8,432,749.00","2.84","United Kingdom","London Stock Exchange","GBP"
"ACA","CREDIT AGRICOLE SA","Financials","Equity","23,224,425.18","0.65","23,224,425.18","1,486,839.00","15.62","France","Nyse Euronext - Euronext Paris","EUR"
"SHB A","SVENSKA HANDELSBANKEN-A SHS","Financials","Equity","23,178,052.94","0.65","23,178,052.94","2,094,853.00","11.06","Sweden","Nasdaq Omx Nordic","SEK"
"KPN","KONINKLIJKE KPN NV","Communication","Equity","22,945,563.82","0.65","22,945,563.82","5,612,907.00","4.09","Netherlands","Euronext Amsterdam","EUR"
"NOKIA","NOKIA","Information Technology","Equity","22,417,638.70","0.63","22,417,638.70","6,055,548.00","3.70","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"DSFIR","DSM FIRMENICH AG","Materials","Equity","22,161,741.82","0.62","22,161,741.82","265,283.00","83.54","Netherlands","Euronext Amsterdam","EUR"
"CLNX","CELLNEX TELECOM SA","Communication","Equity","22,058,425.47","0.62","22,058,425.47","721,571.00","30.57","Spain","Bolsa De Madrid","EUR"
"DSY","DASSAULT SYSTEMES","Information Technology","Equity","21,073,510.04","0.59","21,073,510.04","791,642.00","26.62","France","Nyse Euronext - Euronext Paris","EUR"
"UU.","UNITED UTILITIES GROUP PLC","Utilities","Equity","20,813,130.25","0.59","20,813,130.25","1,604,085.00","12.98","United Kingdom","London Stock Exchange","GBP"
"MRK","MERCK","Health Care","Equity","20,723,546.30","0.58","20,723,546.30","190,649.00","108.70","Germany","Xetra","EUR"
"SGSN","SGS SA","Industrials","Equity","20,391,978.60","0.57","20,391,978.60","235,960.00","86.42","Switzerland","SIX Swiss Exchange","CHF"
"ESSITY B","ESSITY CLASS B","Consumer Staples","Equity","20,198,054.49","0.57","20,198,054.49","870,505.00","23.20","Sweden","Nasdaq Omx Nordic","SEK"
"INF","INFORMA PLC","Communication","Equity","19,069,478.03","0.54","19,069,478.03","1,879,440.00","10.15","United Kingdom","London Stock Exchange","GBP"
"SOON","SONOVA HOLDING AG","Health Care","Equity","18,593,508.97","0.52","18,593,508.97","74,776.00","248.66","Switzerland","SIX Swiss Exchange","CHF"
"GMAB","GENMAB","Health Care","Equity","18,356,263.32","0.52","18,356,263.32","83,515.00","219.80","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"SVT","SEVERN TRENT PLC","Utilities","Equity","18,331,813.84","0.52","18,331,813.84","624,314.00","29.36","United Kingdom","London Stock Exchange","GBP"
"BAER","JULIUS BAER GRUPPE AG","Financials","Equity","17,755,006.94","0.50","17,755,006.94","289,744.00","61.28","Switzerland","SIX Swiss Exchange","CHF"
"KRZ","KERRY GROUP PLC","Consumer Staples","Equity","17,683,571.40","0.50","17,683,571.40","225,412.00","78.45","Ireland","Irish Stock Exchange - All Market","EUR"
"ACS","ACS ACTIVIDADES DE CONSTRUCCION Y","Industrials","Equity","17,512,414.50","0.49","17,512,414.50","270,462.00","64.75","Spain","Bolsa De Madrid","EUR"
"HEN3","HENKEL & KGAA PREF AG","Consumer Staples","Equity","16,693,580.40","0.47","16,693,580.40","231,085.00","72.24","Germany","Xetra","EUR"
"STMN","STRAUMANN HOLDING AG","Health Care","Equity","16,510,661.10","0.47","16,510,661.10","162,888.00","101.36","Switzerland","SIX Swiss Exchange","CHF"
"EQT","EQT","Financials","Equity","16,179,012.69","0.46","16,179,012.69","518,947.00","31.18","Sweden","Nasdaq Omx Nordic","SEK"
"MB","MEDIOBANCA BANCA DI CREDITO FINANZ","Financials","Equity","15,796,728.90","0.45","15,796,728.90","763,127.00","20.70","Italy","Borsa Italiana","EUR"
"COLO B","COLOPLAST B","Health Care","Equity","15,761,948.08","0.44","15,761,948.08","188,591.00","83.58","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"LOGN","LOGITECH INTERNATIONAL SA","Information Technology","Equity","15,694,970.63","0.44","15,694,970.63","177,190.00","88.58","Switzerland","SIX Swiss Exchange","CHF"
"ADM","ADMIRAL GROUP PLC","Financials","Equity","15,621,655.70","0.44","15,621,655.70","374,655.00","41.70","United Kingdom","London Stock Exchange","GBP"
"SGE","THE SAGE GROUP PLC","Information Technology","Equity","14,564,587.70","0.41","14,564,587.70","1,159,198.00","12.56","United Kingdom","London Stock Exchange","GBP"
"MONC","MONCLER","Consumer Discretionary","Equity","14,486,994.60","0.41","14,486,994.60","293,259.00","49.40","Italy","Borsa Italiana","EUR"
"AKZA","AKZO NOBEL NV","Materials","Equity","14,423,148.46","0.41","14,423,148.46","244,709.00","58.94","Netherlands","Euronext Amsterdam","EUR"
"SGRO","SEGRO REIT PLC","Real Estate","Equity","13,559,663.23","0.38","13,559,663.23","1,862,728.00","7.28","United Kingdom","London Stock Exchange","GBP"
"EUR","EUR CASH","Cash and/or Derivatives","Cash","13,490,501.71","0.38","13,490,501.71","13,490,502.00","100.00","European Union","-","EUR"
"G1A","GEA GROUP AG","Industrials","Equity","13,419,852.30","0.38","13,419,852.30","214,546.00","62.55","Germany","Xetra","EUR"
"CCH","COCA COLA HBC AG","Consumer Staples","Equity","13,396,243.89","0.38","13,396,243.89","310,930.00","43.08","United Kingdom","London Stock Exchange","GBP"
"SPSN","SWISS PRIME SITE AG","Real Estate","Equity","13,377,292.96","0.38","13,377,292.96","112,725.00","118.67","Switzerland","SIX Swiss Exchange","CHF"
"QIA","QIAGEN NV","Health Care","Equity","12,974,228.19","0.37","12,974,228.19","319,641.00","40.59","Germany","Deutsche Boerse Xetra","EUR"
"PST","POSTE ITALIANE","Financials","Equity","12,931,127.64","0.36","12,931,127.64","645,588.00","20.03","Italy","Borsa Italiana","EUR"
"TEL","TELENOR","Communication","Equity","12,745,733.05","0.36","12,745,733.05","888,024.00","14.35","Norway","Oslo Bors Asa","NOK"
"ASRNL","ASR NEDERLAND NV","Financials","Equity","12,554,662.40","0.35","12,554,662.40","212,072.00","59.20","Netherlands","Euronext Amsterdam","EUR"
"SMIN","SMITHS GROUP PLC","Industrials","Equity","12,437,243.24","0.35","12,437,243.24","456,287.00","27.26","United Kingdom","London Stock Exchange","GBP"
"ITRK","INTERTEK GROUP PLC","Industrials","Equity","12,286,616.95","0.35","12,286,616.95","227,700.00","53.96","United Kingdom","London Stock Exchange","GBP"
"KNIN","KUEHNE UND NAGEL INTERNATIONAL AG","Industrials","Equity","12,265,217.48","0.35","12,265,217.48","69,570.00","176.30","Switzerland","SIX Swiss Exchange","CHF"
"BOL","BOLIDEN","Materials","Equity","12,091,678.15","0.34","12,091,678.15","408,477.00","29.60","Sweden","Nasdaq Omx Nordic","SEK"
"TEL2 B","TELE2 B","Communication","Equity","12,079,749.99","0.34","12,079,749.99","791,800.00","15.26","Sweden","Nasdaq Omx Nordic","SEK"
"MOWI","MOWI","Consumer Staples","Equity","11,732,230.11","0.33","11,732,230.11","665,187.00","17.64","Norway","Oslo Bors Asa","NOK"
"ABF","ASSOCIATED BRITISH FOODS PLC","Consumer Staples","Equity","11,702,137.93","0.33","11,702,137.93","461,860.00","25.34","United Kingdom","London Stock Exchange","GBP"
"PNDORA","PANDORA","Consumer Discretionary","Equity","11,603,452.45","0.33","11,603,452.45","100,470.00","115.49","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"AUTO","AUTO TRADER GROUP PLC","Communication","Equity","11,599,394.73","0.33","11,599,394.73","1,253,241.00","9.26","United Kingdom","London Stock Exchange","GBP"
"TELIA","TELIA COMPANY","Communication","Equity","11,153,664.02","0.31","11,153,664.02","3,449,659.00","3.23","Sweden","Nasdaq Omx Nordic","SEK"
"VACN","VAT GROUP AG","Industrials","Equity","11,136,282.47","0.31","11,136,282.47","38,850.00","286.65","Switzerland","SIX Swiss Exchange","CHF"
"TRYG","TRYG","Financials","Equity","10,997,525.58","0.31","10,997,525.58","490,925.00","22.40","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"RED","REDEIA CORPORACION SA","Utilities","Equity","10,891,766.34","0.31","10,891,766.34","656,526.00","16.59","Spain","Bolsa De Madrid","EUR"
"ORSTED","OERSTED","Utilities","Equity","10,657,339.51","0.30","10,657,339.51","397,718.00","26.80","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"ERF","EUROFINS SCIENTIFIC","Health Care","Equity","10,540,535.76","0.30","10,540,535.76","162,212.00","64.98","France","Nyse Euronext - Euronext Paris","EUR"
"ANA","ACCIONA SA","Utilities","Equity","10,426,915.20","0.29","10,426,915.20","62,176.00","167.70","Spain","Bolsa De Madrid","EUR"
"METSO","METSO CORPORATION","Industrials","Equity","10,351,060.47","0.29","10,351,060.47","934,633.00","11.07","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"SCA B","SVENSKA CELLULOSA B","Materials","Equity","10,294,226.35","0.29","10,294,226.35","880,080.00","11.70","Sweden","Nasdaq Omx Nordic","SEK"
"VER","VERBUND AG","Utilities","Equity","10,121,426.90","0.29","10,121,426.90","165,113.00","61.30","Austria","Wiener Boerse Ag","EUR"
"ELI","ELIA GROUP SA","Utilities","Equity","10,075,507.00","0.28","10,075,507.00","104,735.00","96.20","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"ORNBV","ORION CLASS B","Health Care","Equity","9,952,132.50","0.28","9,952,132.50","147,439.00","67.50","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"ORK","ORKLA","Consumer Staples","Equity","9,939,271.08","0.28","9,939,271.08","1,034,729.00","9.61","Norway","Oslo Bors Asa","NOK"
