Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"016360","SAMSUNG SECURITIES LTD","Financials","Equity","8,631,974.17","0.03","8,631,974.17","176,892.00","48.80","Korea (South)","Korea Exchange (Stock Market)","KRW"
"214450","PHARMARESEARCH LTD","Health Care","Equity","8,629,660.57","0.03","8,629,660.57","18,248.00","472.91","Korea (South)","Korea Exchange (Kosdaq)","KRW"
"PHOENIXLTD","PHOENIX MILLS LTD","Real Estate","Equity","8,624,556.87","0.03","8,624,556.87","501,415.00","17.20","India","National Stock Exchange Of India","INR"
"2377","MICRO-STAR INTERNATIONAL LTD","Information Technology","Equity","8,620,922.72","0.03","8,620,922.72","2,079,000.00","4.15","Taiwan","Taiwan Stock Exchange","TWD"
"SUPREMEIND","SUPREME INDUSTRIES LTD","Materials","Equity","8,614,350.80","0.03","8,614,350.80","166,083.00","51.87","India","National Stock Exchange Of India","INR"
"ISCTR.E","TURKIYE IS BANKASI C","Financials","Equity","8,599,291.37","0.03","8,599,291.37","23,840,796.00","0.36","Turkey","Istanbul Stock Exchange","TRY"
"6886","HUATAI SECURITIES LTD H","Financials","Equity","8,589,555.75","0.03","8,589,555.75","3,484,200.00","2.47","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"IHH","IHH HEALTHCARE","Health Care","Equity","8,586,577.75","0.03","8,586,577.75","5,342,900.00","1.61","Malaysia","Bursa Malaysia","MYR"
"APLAPOLLO","APL APOLLO TUBES LTD","Materials","Equity","8,581,182.32","0.03","8,581,182.32","461,563.00","18.59","India","National Stock Exchange Of India","INR"
"ABB","ABB INDIA LTD","Industrials","Equity","8,580,716.00","0.03","8,580,716.00","147,605.00","58.13","India","National Stock Exchange Of India","INR"
"358","JIANGXI COPPER LTD H","Materials","Equity","8,549,833.57","0.03","8,549,833.57","2,796,000.00","3.06","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1766","CRRC CORP LTD H","Industrials","Equity","8,539,474.75","0.03","8,539,474.75","10,932,000.00","0.78","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2618","JD LOGISTICS INC","Industrials","Equity","8,499,881.87","0.03","8,499,881.87","5,066,300.00","1.68","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"MRP","MR PRICE GROUP LTD","Consumer Discretionary","Equity","8,485,283.42","0.03","8,485,283.42","727,669.00","11.66","South Africa","Johannesburg Stock Exchange","ZAR"
"AMBANK","AMMB HOLDINGS","Financials","Equity","8,476,524.50","0.03","8,476,524.50","6,644,400.00","1.28","Malaysia","Bursa Malaysia","MYR"
"028300","HLB INC","Health Care","Equity","8,472,897.74","0.03","8,472,897.74","305,090.00","27.77","Korea (South)","Korea Exchange (Kosdaq)","KRW"
"PLN","PLN CASH","Cash and/or Derivatives","Cash","8,460,241.74","0.03","8,460,241.74","30,755,517.00","27.51","Poland","-","PLN"
"136","CHINA RUYI HOLDINGS LTD","Communication","Equity","8,452,200.48","0.03","8,452,200.48","22,801,200.00","0.37","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"TBS","TIGER BRANDS LTD","Consumer Staples","Equity","8,432,651.82","0.03","8,432,651.82","477,487.00","17.66","South Africa","Johannesburg Stock Exchange","ZAR"
"JUBLFOOD","JUBILANT FOODWORKS LTD","Consumer Discretionary","Equity","8,414,691.90","0.03","8,414,691.90","1,176,393.00","7.15","India","National Stock Exchange Of India","INR"
